,extension,LGP,XL,3B,4F,location,working_hours,price,const_year
392,N,1,0,0,0,FR,9265,89600,2012
393,N,1,0,0,0,PL,17095,65250,2007
394,K,1,0,0,0,PL,7942,72010,2013
395,N,1,0,0,0,FR,10601,84000,2011
396,T,1,0,0,0,SE,12300,68602,2009
397,R,0,0,0,0,ES,20580,65000,2003
398,T,0,1,0,0,SK,7454,176000,2016
400,M,1,0,0,0,PL,5652,67290,2003
401,T,1,0,0,0,NO,14135,96496,2010
402,N,1,0,0,0,UA,12000,75300,2005
403,,0,0,0,0,PL,17950,40940,2003
404,N,1,0,0,0,PL,15700,58660,2008
405,M,1,0,0,0,PL,14000,88520,2002
406,N,1,0,0,0,UA,11800,88000,2007
407,N,1,0,0,0,NL,21736,47000,2008
408,N,1,0,0,0,RO,10000,125000,2013
409,K,1,0,0,0,LT,4500,60500,2014
410,R,0,1,0,0,PL,16330,52680,2007
411,T,0,0,0,0,UA,12000,130500,2012
412,T,1,0,0,0,UA,11200,128000,2011
413,N,0,1,0,0,IT,9232,79000,2007
414,T,1,0,0,0,NL,15998,69800,2010
415,R,1,0,0,0,UA,22000,89000,2002
417,R,1,0,0,0,UA,16000,97000,2006
419,T,1,0,0,0,UA,12000,120000,2009
420,K,0,0,0,0,PL,3800,89650,2007
421,N,1,0,0,0,PL,9336,87430,2011
423,T,1,0,0,0,NL,11770,85000,2008
424,N,0,0,0,0,DE,4892,169000,2017
425,T,1,0,0,0,DE,6946,123900,2014
426,T,0,0,0,0,DE,8020,129000,2014
427,N,1,0,0,0,ES,11200,82000,2007
428,T,1,0,0,0,FR,8971,79900,2008
429,N,1,0,0,0,LT,4800,75500,2013
430,N,0,0,0,0,DE,4332,136000,2014
431,T,0,0,0,0,DE,10600,108000,2013
432,N,1,0,0,0,DE,6016,149889,2016
433,T,1,0,0,1,FR,3694,225000,2016
434,T,0,0,0,0,IT,10000,77000,2009
435,N,1,0,0,0,PL,12000,70892,2008
436,N,1,0,0,0,LV,9861,40000,2004
437,N,0,0,0,0,IT,2454,236000,2018
438,R,1,0,0,0,PL,10000,44286,2002
439,T,1,0,0,0,PL,10822,100800,2013
440,T,0,0,0,0,ES,17500,65000,2013
441,R,0,1,0,0,FI,17500,44355,2002
442,T,0,0,0,0,RU,10285,88811,2008
443,N,1,0,0,0,PL,19200,59372,2006
444,R,0,0,0,0,RU,9900,156740,2014
445,K,1,0,0,0,PL,13900,61588,2010
446,N,1,0,0,0,PL,3606,209797,2017
447,N,1,0,0,0,PL,15200,63582,2010
448,N,0,0,0,0,EE,8435,85000,2004
449,K,1,0,0,0,PL,11050,67000,2007
450,T,0,1,0,0,ES,13743,84900,2011
451,N,1,0,0,0,PL,13000,87951,2012
452,N,0,0,0,0,PL,11430,79743,2010
453,R,0,1,0,0,ES,12000,65000,2002
454,K,1,0,0,0,RO,9000,49900,2009
455,N,1,0,0,0,PL,3057,208000,2019
456,N,1,0,0,0,PL,3328,197000,2019
457,N,1,0,0,0,PL,19070,59340,2007
458,N,0,1,0,0,IT,2318,125000,2013
459,N,0,1,0,0,RU,15000,67281,2009
460,R,1,0,0,0,FI,11350,73000,2007
461,R,0,0,0,0,LT,8400,35500,2002
462,R,0,0,0,0,LT,6600,34900,2004
463,K,1,0,0,0,LT,7000,57800,2010
464,K,1,0,0,0,LT,9900,52500,2010
465,N,1,0,0,0,LT,10000,46500,2010
466,N,0,0,0,0,LT,10000,42500,2007
467,N,1,0,0,0,NL,17954,59800,2007
468,T,1,0,0,0,LT,7000,78000,2011
470,N,1,0,0,0,BE,9188,109000,2013
471,T,1,0,0,0,DE,8262,129900,2015
472,T,1,0,0,0,NL,18216,59800,2008
473,T,1,0,0,0,DE,1850,235000,2017
474,T,1,0,0,0,RO,4400,118000,2014
476,N,0,0,0,0,DE,10669,66500,2010
477,T,1,0,0,0,NL,25220,54800,2009
478,N,1,0,0,0,DE,2900,189000,2018
479,T,1,0,0,0,BE,6594,152000,2015
480,R,1,0,0,0,NL,6502,25000,2007
481,T,1,0,0,0,DE,8960,69748,2011
482,T,1,0,0,0,DE,14442,65000,2008
483,N,0,0,0,0,DE,4823,175000,2017
484,N,1,0,0,0,GB,7336,103000,2015
485,,0,0,0,0,BE,20771,53000,2002
486,,0,0,0,0,DE,12525,62500,2007
487,R,1,0,0,0,NL,13493,54500,2007
488,N,0,0,0,0,NL,1960,199500,2019
489,M,1,0,0,0,CH,9420,67369,2002
490,R,1,0,0,0,NL,13331,52500,2005
491,R,1,0,0,0,NL,8854,56750,2008
492,T,1,0,0,0,NL,15324,73900,2010
493,T,0,0,0,0,DE,6468,188200,2016
494,K,0,0,0,0,DE,5256,129900,2017
495,N,1,0,0,0,UK,8966,110446,2014
496,T,1,0,0,0,NL,4908,182500,2017
497,R,0,1,0,0,NL,10055,71700,2011
498,R,0,0,0,0,NL,14471,49800,2006
499,T,1,0,0,0,NL,2697,235000,2018
500,M,1,0,0,0,NL,16696,42500,2002
501,R,1,0,0,0,NL,15725,48500,2006
502,T,1,0,0,0,NL,13337,64950,2009
503,T,1,0,0,0,NL,10100,175000,2013
504,T,1,0,0,0,NL,11200,77500,2011
505,T,1,0,0,0,NL,11221,72000,2008
506,T,1,0,0,0,NL,10863,104900,2011
507,N,1,0,0,0,NL,15135,74800,2011
508,N,1,0,0,0,DE,18000,144000,2014
509,N,1,0,0,0,DE,12000,93900,2014
510,R,0,0,0,0,NL,3745,89800,2014
511,N,1,0,0,0,NL,8455,90500,2011
512,R,0,0,0,0,NL,3933,87800,2014
