index,working_hours,location,extension,model,const_year,price
462,11054,GB,D,320,2008,53033
463,13000,TR,D,320,2011,52000
464,14725,PL,E,320,2013,137000
465,3713,NL,D3,320,2019,78900
466,6304,FR,E,320,2013,94000
467,10781,NL,E,320,2013,66000
468,8221,NL,D,320,2013,49750
469,9690,NL,D,320,2011,47000
470,10650,NL,D,320,2010,57000
471,11100,BE,E,320,2012,56500
472,10563,PL,E,320,2015,62280
473,7900,PL,E,320,2015,76000
474,20392,PL,D,320,2011,58000
475,6006,PL,E,320,2011,59700
476,7200,PL,C,320,2005,35500
477,6226,PL,E,320,2015,83750
478,7789,PL,E,320,2016,83540
479,1400,DE,E,320,2018,88500
480,1940,DE,NG,320,2018,119500
481,6821,DE,F,320,2017,84000
482,6386,DE,E,320,2014,79900
483,6774,PL,E,320,2015,433000
484,10078,NL,E,320,2014,59800
485,1298,DE,NG,320,2019,149500
486,2350,BE,D2,320,2016,80000
487,11277,PL,E,320,2014,292000
488,14914,BE,D2,320,2013,10000
489,954,NL,NG,320,2018,97800
490,2710,NL,NG,320,2018,89800
491,6437,NL,E,320,2016,79800
492,12661,NL,D,320,2008,45800
493,10416,FR,D,320,2008,13899
494,9103,NL,D,320,2008,45000
495,9172,TR,D,320,2014,73900
496,6872,UA,E,320,2015,84500
497,13597,NL,C,320,2005,34800
498,7520,DE,E,320,2014,69000
500,6500,HU,E,320,2016,79500
501,20000,PL,D,320,2011,41000
502,8700,FR,D,320,2011,84000
503,9000,RO,D,320,2011,42900
504,5000,DE,F,320,2016,19500
505,8900,DE,E,320,2013,62900
506,4400,PL,E,320,2013,110000
507,2459,PL,E,320,2015,84127
508,10895,HU,E,320,2014,82750
509,5800,FR,E,320,2015,90000
510,5600,PL,D,320,2010,75000
511,2799,NL,D3,320,2018,84900
512,9547,NL,C,320,2005,42000
513,10312,NL,C,320,2006,42000
514,6771,CH,E,320,2014,81203
515,8388,DE,E,320,2014,85000
516,5968,DE,E,320,2014,120000
517,10517,DE,D,320,2007,51000
518,2000,DE,NG,320,2017,105000
519,8091,DE,F,320,2016,85000
520,3869,DE,NG,320,2018,149000
521,3308,DE,NG,320,2018,155000
522,7804,NO,E,320,2014,85019
523,900,SE,NG,320,2019,174554
524,1346,HU,NG,320,2019,129900
525,8839,NL,D2,320,2017,66500
526,5888,UA,E,320,2015,110000
527,2225,PL,F,320,2017,135000
528,3738,FI,F,320,2016,126800
529,3950,SE,E,320,2014,107579
530,6761,BE,E,320,2013,65950
531,9346,NO,E,320,2011,73165
532,8000,PL,E,320,2014,69972
533,4322,SE,E,320,2015,120607
534,10800,FI,E,320,2015,89000
535,8463,SE,E,320,2015,76888
537,4065,NL,D2,320,2018,84800
538,9197,NL,C,320,2003,44000
539,7983,UA,D,320,2012,69000
540,13369,NL,C,320,2003,46900
541,3093,PL,E,320,2014,97876
542,5273,EE,E,320,2015,79000
543,6771,PL,E,320,2015,73898
544,10684,FR,E,320,2013,55000
545,16950,HU,C,320,2002,36600
546,4670,RO,E,320,2014,93000
547,4600,ES,E,320,2015,1
548,7236,EE,E,320,2015,76900
549,7632,PL,E,320,2016,84361
550,7176,PL,E,320,2015,76078
551,4841,ES,E,320,2015,92000
552,9470,RU,D2,320,2016,81329
553,8000,PT,D,320,2007,40700
554,2170,PL,NG,320,2019,133000
555,14613,NL,C,320,2005,41800
556,2956,SE,F,320,2016,154729
557,4662,PL,F,320,2017,86977
558,2239,PL,NG,320,2018,136000
559,14000,PL,D,320,2011,45000
560,12095,PL,E,320,2013,62980
561,8822,FR,D,320,2011,62000
562,18730,PL,C,320,2007,38650
563,7370,FR,E,320,2012,74500
564,6600,FR,E,320,2016,75000
565,1800,FR,F,320,2017,124000
566,5423,BE,D2,320,2017,110000
567,8521,EE,E,320,2012,80000
568,8287,PL,E,320,2015,74000
569,7549,PL,E,320,2016,78000
570,6512,PL,E,320,2014,78000
571,3150,BE,F,320,2017,105000
572,9685,PL,E,320,2012,57240
573,13488,AT,E,320,2013,57000
574,5300,DE,E,320,2015,93000
575,10911,DE,C,320,2004,44500
576,13551,PL,D,320,2012,62000
577,8122,DE,E,320,2015,72900
580,15801,NL,D,320,2011,51900
581,3588,FR,E,320,2013,114000
582,7780,DE,F,320,2015,95000
583,2262,DE,F,320,2017,109900
584,7893,BE,E,320,2015,69500
585,1730,DE,NG,320,2017,110500
586,5021,AT,E,320,2015,76300
587,5300,PL,E,320,2015,79000
588,9740,NL,E,320,2013,69950
589,2190,BE,F,320,2017,119900
590,5100,BE,E,320,2014,87500
591,4050,PL,E,320,2016,119000
592,9500,PL,D,320,2008,44000
593,6840,FR,E,320,2015,80000
594,9036,NL,C,320,2005,55900
595,13466,NL,D,320,2010,51500
596,8150,DE,E,320,2012,69500
597,9364,DE,E,320,2014,67000
598,5692,DE,E,320,2015,79000
599,4602,DE,E,320,2015,89500
600,2701,NL,E,320,2015,115000
601,12499,NL,D,320,2006,42800
602,13272,NL,D,320,2008,45000
603,10137,LT,E,320,2012,65000
604,10000,RO,D,320,2011,59000
605,8445,NL,C,320,2004,59800
606,9390,NL,E,320,2013,71500
607,6000,LT,E,320,2016,60500
608,4957,NL,F,320,2017,86600
609,7285,RU,D,320,2007,67370
610,6626,RU,D,320,2013,84130
611,7260,RU,D,320,2012,75960
612,7633,RU,D,320,2008,69920
613,8655,RU,D,320,2008,72030
614,4904,RU,D,320,2012,92710
615,5760,RU,D,320,2010,58450
616,11318,RU,D,320,2009,59620
617,11027,RU,D,320,2006,62140
618,6761,BE,E,320,2015,69950
619,8903,RU,D,320,2007,53260
620,10448,RU,C,320,2002,52200
621,14530,NL,D,320,2009,42500
622,5000,LT,E,320,2016,72000
623,12596,NL,D,320,2008,42500
624,9448,NO,E,320,2015,93879
625,6000,NO,E,320,2015,96660
626,9765,NL,C,320,2004,35000
627,13000,LV,D,320,2008,50000
628,8500,FR,E,320,2014,85000
629,9876,NL,D,320,2008,45000
630,9624,NL,C,320,2006,42000
631,6345,FR,E,320,2015,85900
632,15200,NL,D,320,2007,45500
633,18200,NL,D,320,2008,42000
634,3239,LT,NG,320,2018,125000
635,8800,ES,E,320,2015,89000
636,4313,DE,E,320,2013,78950
637,16000,NL,D,320,2009,45000
638,3577,NL,D3,320,2019,86800
639,6400,RO,E,320,2012,68000
640,11500,FI,D,320,2011,63900
641,7107,PL,F,320,2017,85000
642,2480,NL,D2,320,2018,91800
643,10573,AT,E,320,2013,64900
644,10117,NL,D,320,2008,55000
645,10035,NL,E,320,2014,69500
646,6000,DE,D,320,2011,89500
647,2561,DE,E,320,2013,138500
648,10500,DE,C,320,2005,31900
650,7466,NL,E,320,2014,67800
651,5375,DE,E,320,2015,98900
652,2656,DE,NG,320,2018,140000
653,8700,NO,E,320,2014,77310
655,8680,TR,D,320,2012,50000
656,8900,BE,E,320,2012,69000
657,7350,EE,E,320,2013,76000
658,3000,LT,E,320,2015,75000
659,16000,TR,D,320,2008,47900
660,4700,BE,E,320,2016,108900
661,5700,BE,E,320,2014,87500
662,4250,BE,F,320,2017,116900
663,3200,BE,F,320,2017,119900
664,10407,BE,E,320,2013,57000
665,3580,BE,F,320,2016,119000
666,6136,EE,F,320,2017,90000
667,1534,PL,NG,320,2019,144000
668,1791,PL,NG,320,2018,141000
669,2218,FR,F,320,2017,145000
670,3531,FR,F,320,2017,137000
671,3089,PL,E,320,2014,99000
672,3929,NL,D3,320,2018,84900
673,2322,NL,D2,320,2018,89900
674,11254,NL,D,320,2009,45000
675,10048,NL,E,320,2015,66900
676,4500,LT,E,320,2015,58500
677,12257,NL,D,320,2012,50800
678,15161,LV,D,320,2007,35000
679,8256,NL,C,320,2005,47500
680,16000,FI,D,320,2007,59500
681,6786,NL,E,320,2015,85000
682,7983,NL,D,320,2012,49500
683,6600,PL,E,320,2014,69240
684,8500,PL,E,320,2012,66930
685,11212,NL,C,320,2003,39800
686,4218,PL,E,320,2016,94510
687,5615,DE,E,320,2014,120000
688,7460,DE,E,320,2014,91300
690,5,NL,D3,320,2022,102500
691,6,NL,D2,320,2016,125000
692,4,NL,D,320,2021,99800
693,5,NL,D3,320,2021,99800
694,7,NL,D3,320,2021,99800
695,8,NL,D3,320,2021,99800
696,5,BE,D3,320,2021,99500
697,7,NL,NG,320,2020,118000
698,6,NL,D2,320,2016,185000
699,10,NL,D3,320,2020,98500
700,8,NL,D3,320,2020,102000
701,4,BE,D3,320,2021,105000
702,6,NL,D3,320,2021,99800
703,7,UA,D3,320,2021,139800
704,15,UA,D3,320,2021,135000
705,10,LU,D3,320,2021,109000
706,3,NL,D,320,2021,94000
707,7,NL,D3,320,2021,94000
709,5,NL,D3,320,2021,95000
710,7,NL,D3,320,2021,95000
711,10,NL,D3,320,2021,109000
712,33,DE,NG,320,2019,165000
713,5,UA,D,320,2021,126000
714,7,NL,D3,320,2021,97500
715,5,RO,D3,320,2021,114900
716,7,NL,D3,320,2020,95000
718,6,NL,D3,320,2020,94000
719,13,UA,D3,320,2021,110000
720,7,NL,D3,320,2020,97500
721,8,FR,D,320,2011,62000
722,4,NL,D3,320,2021,97500
723,3,FR,E,320,2013,114000
724,8,LU,D3,320,2020,102500
725,8,LU,D3,320,2021,112500
726,7,PL,F,320,2017,85000
727,6,FR,E,320,2015,80000
728,4,PL,E,320,2016,119000
729,9,RU,D2,320,2016,80478
730,2,FR,F,320,2017,145000
731,9,PT,E,320,2012,120000
732,8,FR,E,320,2014,85000
733,1,PL,NG,320,2019,144000
734,4,SK,E,320,2014,105000
735,3,BE,F,320,2016,119000
736,1,PL,NG,320,2018,141000
737,2,DE,NG,320,2018,140000
738,3,NL,D,320,2021,97500
739,7,NL,D,320,2020,99800
741,7,PT,F,320,2017,127500
742,5,UK,NG,320,2018,99561
743,7,RU,D2,320,2017,99711
744,3,FR,F,320,2017,137000
745,5,RU,D2,320,2017,106510
746,6,RU,D2,320,2017,104244
747,9,ES,E,320,2012,83000
748,8,NL,D3,320,2020,102500
749,7,NL,D3,320,2020,102500
750,5,NL,D3,320,2021,97500
751,6,NL,D3,320,2021,112500
752,8,NL,D3,320,2021,109500
753,7,BE,D3,320,2021,104500
755,11483,FI,E,323,2012,86700
756,12081,EE,E,323,2013,67900
757,13900,DE,D,323,2009,55000
758,8765,NL,E,323,2014,75000
759,1621,NL,D3,323,2021,94800
760,2820,IT,E,323,2016,97000
761,6273,NO,E,323,2015,107391
762,9362,DE,E,323,2014,70000
763,12800,DE,D,323,2011,59900
764,7100,DE,D,323,2011,75000
765,6140,DE,E,323,2012,79990
766,7400,PL,F,323,2016,105500
767,8500,NL,E,323,2011,69000
768,11000,DE,E,323,2013,66900
769,7280,DE,E,323,2012,52941
770,19495,NL,D,323,2010,46800
771,2924,FR,E,323,2016,145000
772,8900,DE,E,323,2012,53900
773,4274,FR,F,323,2017,145000
774,7633,NL,E,323,2013,66500
775,7660,NL,D,323,2011,67500
776,5437,FR,E,323,2016,150000
777,14800,DE,D,323,2007,47000
778,9227,DE,D,323,2010,61000
779,13250,IT,D,323,2008,46500
780,5955,NO,E,323,2014,119007
781,3477,FR,E,323,2016,125000
782,7800,DE,E,323,2014,81000
783,17100,PL,D,323,2007,36500
784,12079,NO,E,323,2013,70550
785,10031,PL,D,323,2011,60730
786,9240,PL,F,323,2017,117212
787,8800,BE,D,323,2008,55000
788,12200,NL,D,323,2010,49900
789,11500,DE,E,323,2013,66900
790,11241,SE,D,323,2008,45804
791,6733,DE,D,323,2009,77000
792,9216,NL,D,323,2009,51500
793,18849,AT,D,323,2008,45850
794,9576,NL,D,323,2011,57000
795,12530,IT,D,323,2008,35000
796,6547,DE,F,323,2017,92000
797,8911,PL,D,323,2011,71600
798,3900,PT,F,323,2019,140000
799,17786,NL,D,323,2008,45900
800,8920,PL,E,323,2012,53412
801,10000,PL,D,323,2007,40000
802,15000,NL,D,323,2010,46900
803,3510,SK,F,323,2017,139000
804,12329,NL,D,323,2009,53900
805,12558,NL,D,323,2008,48500
