extension,CR,location,working_hours,price,const_year,model,L,RR,LR,GC,VA,SA,N,H,ME,XE,LGP,XL,3B,4F,MH
D,,NO,9200,47326,2011,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
E,,SE,11807,68563,2013,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
B,,IE,13057,29950,2005,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,BE,10748,59000,2014,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
E,,PL,7800,77500,2014,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,FR,16737,42900,2010,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NL,9701,10000,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,DE,8558,102221,2013,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
E,,FR,10687,65000,2012,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,LT,11000,70000,2015,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,11075,51900,2008,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,BE,321,175000,2020,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,NL,469,185914,2019,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,DE,3374,159000,2019,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,FI,7800,105000,2014,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
E,,PL,7720,74500,2015,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
E,,FI,9674,98000,2015,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
D,,FI,7814,46000,2008,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,DE,6900,69500,2012,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
E,,EE,9996,62500,2012,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,GB,8300,71080,2015,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
B,,IE,13213,30000,2004,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,DE,5027,120000,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,17897,47800,2007,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NL,12081,69800,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
F,,PT,8776,69000,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,DE,3885,168948,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NL,8458,69000,2012,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,FR,1515,155000,2018,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
E,,NL,8169,67800,2014,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
E,,DE,6500,118000,2016,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,DE,10611,66000,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D2,,UA,1608,117000,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,UA,1750,115000,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,DE,246,134500,2020,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
E,,NL,11760,66900,2013,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,PL,9500,61858,2014,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
NG,,TR,2710,95000,2020,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
E,,FI,9300,82000,2015,320,1.0,1.0,0.0,0.0,,,,,,,,,,,
C,,FI,12725,49900,2003,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,FR,4335,120000,2015,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,TR,8470,72000,2014,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
F,,FR,7200,103000,2017,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,PL,3215,136000,2020,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
NG,,PL,2801,128000,2019,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
C,,NL,9322,39500,2004,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
C,,NL,9000,39500,2002,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
F,,PL,3744,156000,2016,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NO,8500,64611,2014,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
,,TR,3000,96400,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NO,9950,71911,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,DE,10600,60900,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
F,,SE,7337,116581,2016,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D3,,BE,895,89000,2019,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,18706,49800,2011,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D,,PL,11147,41430,2010,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
D3,,NL,1403,81800,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D3,,NL,1701,86800,2020,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
D,,NL,1364,85800,2018,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
E,,NL,10275,62900,2012,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
F,,FI,3330,124900,2017,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
E,,EE,12076,67900,2013,320,1.0,0.0,0.0,0.0,,,,,,,,,,,
NG,,FR,1181,150000,2019,320,0.0,0.0,0.0,1.0,,,,,,,,,,,
E,,FR,8443,70000,2015,320,0.0,0.0,0.0,0.0,,,,,,,,,,,
