,working_hours,location,model,extension,const_year,price
483,8839,NL,320,D2,2017,66500
484,5888,UA,320,E,2015,110000
485,2225,PL,320,F,2017,135000
486,3738,FI,320,F,2016,126800
487,3950,SE,320,E,2014,107579
488,6761,BE,320,E,2013,65950
489,9346,NO,320,E,2011,73165
490,8000,PL,320,E,2014,69972
491,4322,SE,320,E,2015,120607
492,10800,FI,320,E,2015,89000
493,8463,SE,320,E,2015,76888
494,765,UK,320,NG,2018,105149
495,4065,NL,320,D2,2018,84800
496,7983,UA,320,D,2012,69000
497,3093,PL,320,E,2014,97876
498,5273,EE,320,E,2015,79000
499,6771,PL,320,E,2015,73898
500,10684,FR,320,E,2013,55000
501,4670,RO,320,E,2014,93000
502,7236,EE,320,E,2015,76900
503,7632,PL,320,E,2016,84361
504,7176,PL,320,E,2015,76078
505,4841,ES,320,E,2015,92000
506,9470,RU,320,D2,2016,81329
507,8000,PT,320,D,2007,40700
508,2170,PL,320,NG,2019,133000
509,14613,NL,320,C,2005,41800
510,2956,SE,320,F,2016,154729
511,4662,PL,320,F,2017,86977
512,2239,PL,320,NG,2018,136000
513,14000,PL,320,D,2011,45000
514,12095,PL,320,E,2013,62980
515,8822,FR,320,D,2011,62000
516,18730,PL,320,C,2007,38650
517,7370,FR,320,E,2012,74500
518,6600,FR,320,E,2016,75000
519,1800,FR,320,F,2017,124000
520,5423,BE,320,D2,2017,110000
521,8521,EE,320,E,2012,80000
522,8287,PL,320,E,2015,74000
523,7549,PL,320,E,2016,78000
524,6512,PL,320,E,2014,78000
525,3150,BE,320,F,2017,105000
526,9685,PL,320,E,2012,57240
527,13488,AT,320,E,2013,57000
528,5300,DE,320,E,2015,93000
529,13551,PL,320,D,2012,62000
530,8122,DE,320,E,2015,72900
531,7932,GB,320,,2016,46000
532,6700,DE,320,,2005,49500
533,15801,NL,320,D,2011,51900
534,3588,FR,320,E,2013,114000
535,7780,DE,320,F,2015,95000
536,2262,DE,320,F,2017,109900
537,7893,BE,320,E,2015,69500
538,1730,DE,320,NG,2017,110500
539,5021,AT,320,E,2015,76300
540,5300,PL,320,E,2015,79000
541,9740,NL,320,E,2013,69950
542,2190,BE,320,F,2017,119900
543,5100,BE,320,E,2014,87500
544,4050,PL,320,E,2016,119000
545,9500,PL,320,D,2008,44000
546,6840,FR,320,E,2015,80000
547,9036,NL,320,C,2005,55900
548,13466,NL,320,D,2010,51500
549,8150,DE,320,E,2012,69500
550,9364,DE,320,E,2014,67000
551,5692,DE,320,E,2015,79000
552,4602,DE,320,E,2015,89500
553,2701,NL,320,E,2015,115000
554,12499,NL,320,D,2006,42800
555,13272,NL,320,D,2008,45000
556,10137,LT,320,E,2012,65000
557,10000,RO,320,D,2011,59000
558,9390,NL,320,E,2013,71500
559,6000,LT,320,E,2016,60500
560,4957,NL,320,F,2017,86600
561,7285,RU,320,D,2007,67370
562,6626,RU,320,D,2013,84130
563,7260,RU,320,D,2012,75960
564,7633,RU,320,D,2008,69920
565,8655,RU,320,D,2008,72030
566,4904,RU,320,D,2012,92710
567,5760,RU,320,D,2010,58450
568,11318,RU,320,D,2009,59620
569,11027,RU,320,D,2006,62140
570,6761,BE,320,E,2015,69950
571,8903,RU,320,D,2007,53260
572,14530,NL,320,D,2009,42500
573,5000,LT,320,E,2016,72000
574,12596,NL,320,D,2008,42500
575,9448,NO,320,E,2015,93879
576,6000,NO,320,E,2015,96660
577,13000,LV,320,D,2008,50000
578,8500,FR,320,E,2014,85000
579,9876,NL,320,D,2008,45000
580,9624,NL,320,C,2006,42000
581,6345,FR,320,E,2015,85900
582,15200,NL,320,D,2007,45500
583,18200,NL,320,D,2008,42000
584,3239,LT,320,NG,2018,125000
585,8800,ES,320,E,2015,89000
586,4313,DE,320,E,2013,78950
587,16000,NL,320,D,2009,45000
588,3577,NL,320,D3,2019,86800
589,6400,RO,320,E,2012,68000
590,11500,FI,320,D,2011,63900
591,7107,PL,320,F,2017,85000
592,2480,NL,320,D2,2018,91800
593,10573,AT,320,E,2013,64900
594,10117,NL,320,D,2008,55000
595,10035,NL,320,E,2014,69500
596,6000,DE,320,D,2011,89500
597,2561,DE,320,E,2013,138500
598,10500,DE,320,C,2005,31900
599,1700,DE,320,,2017,78500
600,7466,NL,320,E,2014,67800
601,5375,DE,320,E,2015,98900
602,2656,DE,320,NG,2018,140000
603,8700,NO,320,E,2014,77310
604,7400,NO,320,,2015,91820
605,8680,TR,320,D,2012,50000
606,8900,BE,320,E,2012,69000
607,7350,EE,320,E,2013,76000
608,3000,LT,320,E,2015,75000
609,16000,TR,320,D,2008,47900
610,4700,BE,320,E,2016,108900
611,5700,BE,320,E,2014,87500
612,4250,BE,320,F,2017,116900
613,3200,BE,320,F,2017,119900
614,10407,BE,320,E,2013,57000
615,3580,BE,320,F,2016,119000
616,6136,EE,320,F,2017,90000
617,1534,PL,320,NG,2019,144000
618,1791,PL,320,NG,2018,141000
619,2218,FR,320,F,2017,145000
620,3531,FR,320,F,2017,137000
621,3089,PL,320,E,2014,99000
622,3929,NL,320,D3,2018,84900
623,2322,NL,320,D2,2018,89900
624,11254,NL,320,D,2009,45000
625,10048,NL,320,E,2015,66900
626,4500,LT,320,E,2015,58500
627,12257,NL,320,D,2012,50800
628,15161,LV,320,D,2007,35000
629,8256,NL,320,C,2005,47500
630,16000,FI,320,D,2007,59500
631,6786,NL,320,E,2015,85000
632,7983,NL,320,D,2012,49500
633,6600,PL,320,E,2014,69240
634,8500,PL,320,E,2012,66930
635,4218,PL,320,E,2016,94510
636,5615,DE,320,E,2014,120000
637,7460,DE,320,E,2014,91300
638,36,NL,320,NG,2021,121800
639,5,NL,320,D3,2022,102500
640,6,NL,320,D2,2016,125000
641,4,NL,320,D,2021,99800
642,5,NL,320,D3,2021,99800
643,7,NL,320,D3,2021,99800
644,8,NL,320,D3,2021,99800
645,5,BE,320,D3,2021,99500
646,7,NL,320,NG,2020,118000
647,10,NL,320,D3,2020,98500
648,8,NL,320,D3,2020,102000
649,4,BE,320,D3,2021,105000
650,6,NL,320,D3,2021,99800
651,7,UA,320,D3,2021,139800
652,15,UA,320,D3,2021,135000
653,10,LU,320,D3,2021,109000
654,3,NL,320,D,2021,94000
655,7,NL,320,D3,2021,94000
656,9,BE,320,NG,2021,119000
657,5,NL,320,D3,2021,95000
658,7,NL,320,D3,2021,95000
659,10,NL,320,D3,2021,109000
660,33,DE,320,NG,2019,165000
661,5,UA,320,D,2021,126000
662,7,NL,320,D3,2021,97500
663,5,RO,320,D3,2021,114900
664,7,NL,320,D3,2020,95000
665,1,DE,320,,2019,147490
666,6,NL,320,D3,2020,94000
667,13,UA,320,D3,2021,110000
668,7,NL,320,D3,2020,97500
669,8,FR,320,D,2011,62000
670,4,NL,320,D3,2021,97500
671,3,FR,320,E,2013,114000
672,8,LU,320,D3,2020,102500
673,8,LU,320,D3,2021,112500
674,7,PL,320,F,2017,85000
675,6,FR,320,E,2015,80000
676,4,PL,320,E,2016,119000
677,9,RU,320,D2,2016,80478
678,2,FR,320,F,2017,145000
679,9,PT,320,E,2012,120000
680,8,FR,320,E,2014,85000
681,1,PL,320,NG,2019,144000
682,4,SK,320,E,2014,105000
683,3,BE,320,F,2016,119000
684,1,PL,320,NG,2018,141000
685,2,DE,320,NG,2018,140000
686,3,NL,320,D,2021,97500
687,7,NL,320,D,2020,99800
688,10,AT,320,E,2013,76018
689,7,PT,320,F,2017,127500
690,5,UK,320,NG,2018,99561
691,7,RU,320,D2,2017,99711
692,3,FR,320,F,2017,137000
693,5,RU,320,D2,2017,106510
694,6,RU,320,D2,2017,104244
695,9,ES,320,E,2012,83000
696,8,NL,320,D3,2020,102500
697,7,NL,320,D3,2020,102500
698,5,NL,320,D3,2021,97500
699,6,NL,320,D3,2021,112500
700,8,NL,320,D3,2021,109500
701,7,BE,320,D3,2021,104500
702,1,DE,320,,2019,145990
703,11483,FI,323,E,2012,86700
704,12081,EE,323,E,2013,67900
705,13900,DE,323,D,2009,55000
706,8765,NL,323,E,2014,75000
707,1621,NL,323,D3,2021,94800
708,2820,IT,323,E,2016,97000
709,6273,NO,323,E,2015,107391
710,9362,DE,323,E,2014,70000
711,12800,DE,323,D,2011,59900
712,7100,DE,323,D,2011,75000
713,6140,DE,323,E,2012,79990
714,7400,PL,323,F,2016,105500
715,8500,NL,323,E,2011,69000
716,11000,DE,323,E,2013,66900
717,7280,DE,323,E,2012,52941
718,19495,NL,323,D,2010,46800
719,2924,FR,323,E,2016,145000
720,8900,DE,323,E,2012,53900
721,4274,FR,323,F,2017,145000
722,7633,NL,323,E,2013,66500
723,7660,NL,323,D,2011,67500
724,5437,FR,323,E,2016,150000
725,14800,DE,323,D,2007,47000
726,9227,DE,323,D,2010,61000
727,13250,IT,323,D,2008,46500
728,5955,NO,323,E,2014,119007
729,3477,FR,323,E,2016,125000
730,7800,DE,323,E,2014,81000
731,17100,PL,323,D,2007,36500
732,12079,NO,323,E,2013,70550
733,10031,PL,323,D,2011,60730
734,9240,PL,323,F,2017,117212
