,extension,L,RR,LR,GC,location,working_hours,price,const_year
288,E,1,0,1,0,PL,4400,110000,2013
289,E,1,0,0,0,PL,2459,84127,2015
291,E,1,0,0,0,HU,10895,82750,2014
292,E,1,0,0,0,FR,5800,90000,2015
293,D,0,0,0,0,PL,5600,75000,2010
294,D3,0,0,0,0,NL,2799,84900,2018
295,C,1,0,0,0,NL,9547,42000,2005
296,C,1,0,0,0,NL,10312,42000,2006
297,E,1,0,0,0,CH,6771,81203,2014
298,E,1,1,0,0,DE,8388,85000,2014
299,E,1,0,1,0,DE,5968,120000,2014
300,D,1,0,0,0,DE,10517,51000,2007
301,NG,0,0,0,1,DE,2000,105000,2017
302,F,0,0,0,0,DE,8091,85000,2016
303,NG,0,0,0,0,DE,3869,149000,2018
304,NG,0,0,0,0,DE,3308,155000,2018
305,E,1,1,0,0,NO,7804,85019,2014
306,NG,0,0,0,0,SE,900,174554,2019
307,NG,0,0,0,1,HU,1346,129900,2019
308,D2,0,0,0,0,NL,8839,66500,2017
309,E,1,0,0,0,UA,5888,110000,2015
310,F,1,0,0,0,PL,2225,135000,2017
311,F,1,0,0,0,FI,3738,126800,2016
312,E,1,0,0,0,SE,3950,107579,2014
313,E,0,0,0,0,BE,6761,65950,2013
314,E,1,1,0,0,NO,9346,73165,2011
315,E,1,1,0,0,PL,8000,69972,2014
316,E,1,0,1,0,SE,4322,120607,2015
317,E,1,1,0,0,FI,10800,89000,2015
318,E,1,1,0,0,SE,8463,76888,2015
319,NG,0,0,0,1,UK,765,105149,2018
320,D2,0,0,0,0,NL,4065,84800,2018
321,C,1,0,0,0,NL,9197,44000,2003
322,D,0,0,0,0,UA,7983,69000,2012
323,C,0,0,0,0,NL,13369,46900,2003
324,E,1,0,0,0,PL,3093,97876,2014
325,E,1,0,0,0,EE,5273,79000,2015
326,E,1,0,0,0,PL,6771,73898,2015
328,E,1,0,0,0,FR,10684,55000,2013
329,C,0,0,0,0,HU,16950,36600,2002
330,E,1,0,0,0,RO,4670,93000,2014
333,E,1,0,0,0,EE,7236,76900,2015
334,E,1,0,0,0,PL,7632,84361,2016
335,E,1,0,0,0,PL,7176,76078,2015
336,E,1,1,0,0,ES,4841,92000,2015
337,D2,1,0,0,0,RU,9470,81329,2016
338,D,0,0,0,0,PT,8000,40700,2007
339,NG,0,0,0,1,PL,2170,133000,2019
340,C,0,0,0,0,NL,14613,41800,2005
341,F,0,0,0,0,SE,2956,154729,2016
342,F,1,0,0,0,PL,4662,86977,2017
343,NG,0,0,0,0,PL,2239,136000,2018
344,D,0,0,0,0,PL,14000,45000,2011
345,E,1,0,0,0,PL,12095,62980,2013
346,D,0,0,0,0,FR,8822,62000,2011
348,C,0,0,0,0,PL,18730,38650,2007
349,E,0,0,0,0,FR,7370,74500,2012
350,E,1,0,0,0,FR,6600,75000,2016
351,F,1,0,0,0,FR,1800,124000,2017
352,D2,1,0,0,0,BE,5423,110000,2017
353,E,1,0,0,0,EE,8521,80000,2012
354,E,1,0,0,0,PL,8287,74000,2015
355,E,1,0,0,0,PL,7549,78000,2016
356,E,1,0,0,0,PL,6512,78000,2014
357,F,1,0,0,0,BE,3150,105000,2017
358,E,0,0,0,0,PL,9685,57240,2012
359,E,0,0,0,0,AT,13488,57000,2013
360,E,1,1,0,0,DE,5300,93000,2015
361,C,0,0,0,0,DE,10911,44500,2004
363,D,0,0,0,0,PL,13551,62000,2012
364,E,0,0,0,0,DE,8122,72900,2015
365,,0,0,0,0,GB,7932,46000,2016
366,,0,0,0,0,DE,6700,49500,2005
